text	score	binary	multilevel	id
The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .	0.694440	1	3	1
The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .	0.833330	1	4	2
Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .	0.625000	1	3	61
You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .	0.500000	0	2	62
Yet the act is still charming here .	0.722220	1	3	63
Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .	0.833330	1	4	64
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .	0.875000	1	4	68
Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .	0.722220	1	3	72
a screenplay more ingeniously constructed than `` Memento ''	0.833330	1	4	82
`` Extreme Ops '' exceeds expectations .	0.736110	1	3	131
Good fun , good action , good acting , good dialogue , good pace , good cinematography .	0.902780	1	4	132
You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .	0.444440	0	2	133
Dramas like this make it human .	0.805560	1	4	134
A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .	0.444440	0	2	135
Still , this flick is fun , and host to some truly excellent sequences .	0.819440	1	4	136
Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .	0.750000	1	3	214
You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .	0.611110	1	3	228
Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .	0.444440	0	2	340
Absorbing character study by André Turpin .	0.819440	1	4	383
If you love reading and\/or poetry , then by all means check it out .	0.777780	1	3	387
You 'll probably love it .	0.819440	1	4	388
`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''	0.638890	1	3	428
near the end takes on a whole other meaning .	0.555560	1	2	429
