key	text	target
1	color google color a company color blue color company apple orange apple orange apple color fruit color google company apple company a fruit is google blue color blue blue blue apple color blue company fruit color color is apple apple a company orange orange fruit a fruit google orange orange apple google apple google google blue color orange is orange a color fruit apple color a apple is google blue company company google google a orange apple apple blue blue blue orange is is company apple blue company google fruit orange blue blue company is blue apple color color company google apple google company	31
2	google blue orange a google blue fruit apple color a a orange is color google a google is is fruit fruit color color company google google apple blue orange blue fruit a a google google fruit is fruit is apple blue company a a fruit fruit apple apple is google color color color a company apple blue is company google is a fruit color apple google color blue color a a is fruit google fruit is color google fruit color orange orange a apple apple a a color color apple google orange a company a google apple color is	37
3	is is blue blue fruit color fruit is blue orange is fruit is company company a google fruit a is company a color color is google orange orange apple company company fruit google apple color fruit blue company apple color google a is color orange apple google fruit fruit blue blue google blue apple a apple google color google color blue fruit a is blue fruit apple google google orange fruit google a blue blue fruit fruit blue a fruit is orange google google a orange blue blue color is color a apple blue fruit company google google color color	49
4	apple google a orange color blue orange google fruit apple is orange is color fruit company blue is color orange color company apple apple apple blue google company company a is company company fruit is a company google is color blue color company google fruit google is is google a a google is blue company color is color google a blue blue a is a company google google fruit company apple orange a orange apple google apple color color a blue orange a company apple fruit apple a fruit google google apple blue	43
5	apple company company color company blue orange google apple is fruit orange blue apple blue a fruit a fruit a orange orange blue a is is fruit fruit a blue blue fruit apple is color google a color fruit google orange orange google google a fruit company google fruit is fruit blue apple blue fruit apple company orange a orange color google google color company blue fruit blue apple apple a fruit google fruit apple orange color blue is fruit blue blue orange a fruit company blue orange orange a orange a a google fruit is company color company a is blue color google google apple orange apple google orange blue fruit	17
6	is is color google blue apple orange company color apple blue apple google a apple orange blue google google is company is blue blue color orange is a company apple apple blue color is blue blue company color blue a a is fruit color company fruit is color apple a orange blue fruit apple google is company color google color company blue apple fruit color blue company company is fruit fruit blue fruit orange color company a color is apple orange apple google color company is is is is google fruit color google fruit company blue is google orange is is	38
7	orange company a blue apple orange google blue google apple fruit blue google a google company blue blue color google apple google blue color google a a blue blue apple fruit google is is fruit fruit company apple a company blue orange a blue a company apple color orange google apple apple a apple blue a blue google blue orange company orange google a color company a a orange fruit color fruit blue color google a fruit fruit apple blue blue orange company apple a apple google google is google blue fruit a a blue apple blue color blue is a fruit	21
8	color is a is color color orange blue company orange a company company a fruit fruit blue color google google google fruit a color google is google color blue google company a orange orange a google orange company orange is color fruit fruit color google blue blue google apple apple apple color blue apple a is a google color company company a company fruit apple a a apple fruit fruit fruit blue apple is google google fruit is company fruit blue a company orange company google a is is orange apple apple company company apple color fruit is blue a color a blue orange color blue google orange company blue color color fruit blue blue color a	7
9	a a orange fruit fruit orange is google is blue orange is company blue company orange color blue blue a company blue color blue company blue company google apple is apple apple is orange color color a fruit orange is apple fruit orange fruit is orange color orange apple color blue a apple apple blue a color apple google a orange apple apple a blue a apple blue company apple is company company fruit fruit a is a a blue fruit a orange google blue google blue google apple blue blue color google fruit google a fruit	9
10	google company a color company company apple blue company fruit a apple blue google fruit a fruit blue color orange company a a orange fruit is apple color color orange apple orange a company fruit color blue company blue color apple a apple google apple google color color a is orange is apple apple is blue a blue blue a apple is google apple blue google google is google a blue color apple orange orange color fruit is google apple company orange apple is is a google blue google company fruit color blue fruit fruit is google blue company company	13
11	color orange company is is orange orange company color google is blue a a company a fruit google google color is blue color is apple apple color blue fruit a orange a a orange apple is a orange apple apple fruit orange orange blue is is apple fruit a orange company a apple a apple company fruit color orange color blue a google blue orange google apple orange a company company google fruit google color google fruit orange company fruit apple orange apple a fruit company company color color fruit apple orange is fruit fruit google is is company a google color apple apple color fruit company is fruit fruit company	42
12	color fruit blue a is a orange is a company is blue color orange apple fruit company google a apple orange company a color is apple google color orange apple color fruit blue is color company color color is orange is is color google apple blue google blue apple is blue fruit apple fruit company is blue google fruit color apple blue apple apple apple company google color google color orange apple google fruit blue blue fruit google google a google blue orange google orange fruit a color orange orange color is is google is fruit blue a is apple color is apple orange is	4
13	google apple orange company is google google company a is a color blue fruit is color a blue company a apple is blue orange color company company apple orange color is orange google company color orange blue blue fruit orange is a apple fruit fruit orange a is apple blue blue orange a blue apple google a blue company a google color blue is is apple apple orange fruit google apple color orange company orange apple orange apple apple blue google is company fruit fruit apple company apple fruit color company fruit	42
14	blue fruit orange orange fruit blue color color is a blue a google google google google fruit apple orange apple company is blue blue is apple fruit orange a apple apple is company google apple a company color a orange a company blue a company company apple is blue apple google orange company a google fruit apple fruit company fruit blue google google blue google company apple company company orange company is is color blue blue fruit orange fruit google google blue blue company google color apple google is fruit color orange orange a orange apple fruit	18
15	color company blue is orange google company a blue is color company apple is blue is blue orange color google company company apple company fruit blue is a is orange a blue apple orange orange company google blue orange is orange google orange company company a orange apple fruit is orange color orange apple color is google blue a apple a fruit orange color company color a orange orange apple blue google a google apple is company orange orange is a apple google color orange orange apple is google is color google apple google blue a orange	35
16	is google apple is fruit is apple google fruit fruit blue blue a blue apple fruit a color a is fruit a color a company is company color blue apple a orange google a google google is fruit color company company apple company is a orange apple a color fruit orange company orange orange blue google apple a orange apple apple blue orange a company orange is a color color a a blue a is a company apple a company a color fruit fruit orange a orange color apple fruit color fruit apple apple google color a google color	16
17	google company orange company orange is google company company orange orange color company a color a company company blue is a a apple orange orange company fruit orange apple apple company is is blue google fruit apple a a google orange a fruit blue is fruit apple fruit apple fruit apple a is orange company company a fruit apple google fruit google fruit a a a apple a is a apple apple is orange blue google a google is orange apple is company apple fruit color company company apple color is color orange apple google	32
18	google fruit google is fruit color is fruit blue is is color apple is is color a blue is is orange google fruit orange orange blue google google fruit blue orange color color color blue apple fruit blue apple color orange apple fruit fruit a blue is a is orange is color a apple blue google is is company color orange apple color fruit orange orange fruit company company color orange fruit fruit apple orange color google company color apple google blue fruit apple fruit is is google google blue color color company orange	25
19	fruit a a company company color company google apple company google is fruit blue orange orange fruit color company blue apple orange is color a a apple apple color is google is company apple color apple apple apple a company is company a fruit google company google is google fruit apple google color apple is a apple orange apple google blue blue google fruit is a orange orange orange blue a orange google apple blue blue color a fruit a apple a color fruit color company color fruit orange company google blue is google fruit color is google color is orange color color	35
20	a apple google google google color a is google is is color color company blue orange fruit a blue company orange company google fruit orange orange color orange orange is apple orange apple blue a fruit company apple google is is is is blue google a blue color color apple a company color apple a fruit fruit orange company fruit color company fruit is color blue google blue blue color fruit is fruit fruit company fruit orange apple blue company google fruit color orange color is orange is color apple company blue blue blue fruit apple fruit color fruit apple	27
21	is is color google is google google blue fruit google company fruit apple is blue blue company google a orange orange company fruit blue color is a is is a is color fruit blue orange color blue apple blue blue color company apple company fruit fruit google orange apple is a color google fruit google fruit blue fruit orange color orange color is orange orange is is company a orange company color apple is orange orange company blue fruit color orange company orange is is a color company is blue fruit fruit google blue fruit a color a is color company fruit orange apple a orange orange apple a orange google	33
22	color apple google company company is color apple company apple blue fruit a color google google color is apple fruit company orange orange color a company color blue orange is apple a blue is is fruit color google fruit apple company is is blue is fruit is orange orange company is a company company blue apple company fruit is company is fruit a apple apple fruit orange fruit fruit is google color orange apple is orange a company a a fruit color is blue google is orange blue	7
23	orange company fruit is google google a apple is a blue a orange is company apple google orange google fruit apple orange is is blue a is blue orange color a apple color orange fruit is blue fruit color google a orange color fruit blue apple a apple company blue blue a blue google fruit fruit orange color google color is fruit apple is is fruit orange orange company a company blue orange orange color fruit blue orange apple orange a orange google company orange fruit a fruit blue company company a apple blue a fruit fruit is google google a a fruit apple color orange	24
24	google is color is fruit google a company blue a color google color company color orange is google is blue orange company google google google blue apple apple company blue fruit apple apple apple a a fruit is is company apple company a blue google google blue company is a is a blue google apple fruit color fruit color apple orange a blue is color apple fruit orange apple apple apple blue a fruit fruit google color company color a a blue is color	47
25	is color fruit google fruit company fruit fruit orange a google fruit a company is company a color orange company is a blue color a a color a company company a orange is blue google google google apple a company apple color a blue color apple color blue google blue blue blue google fruit fruit blue is company is google orange blue color is is is color google company fruit orange color is apple orange is google a company orange color apple a blue blue is blue blue blue a google blue orange is is orange	23
26	fruit company a orange is color blue is is blue company google fruit company color company is a orange a fruit is google a google is blue company google orange a company company apple orange apple google color blue orange google apple apple google blue google a fruit orange color color fruit fruit orange google fruit company a company is fruit company blue color company blue color a google orange google color company company color blue orange is fruit blue is orange is is company color company fruit apple is color color is blue company blue google	22
27	color blue is fruit a a company blue a fruit is a orange a fruit orange fruit apple google orange color blue company is google company company orange color apple color company color google a fruit google a orange a a company is apple color is color blue is color is orange a is google fruit google google fruit google is fruit color company blue google company a a apple blue company a apple is google apple company company blue company apple fruit orange google google a fruit is a blue a apple apple a a company fruit blue company company orange company is company blue google orange orange fruit orange color color company blue fruit color blue	2
